Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls Per 90 Minutes,Ast Per 90 Minutes,G+A Per 90 Minutes,G-PK Per 90 Minutes,G+A-PK Per 90 Minutes,xG,npxG,xA,xG Per 90 Minutes,xA Per 90 Minutes,xG+xA Per 90 Minutes,npxG Per 90 Minutes,npxG+xA Per 90 Minutes
Arsenal,29,54,38,418,3420,56,35,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.2,46.9,29.9,1.3,0.79,2.08,1.24,2.02
Aston Villa,28,43.9,38,418,3420,40,32,1,3,70,1,1.05,0.84,1.89,1.03,1.87,40,37.6,30.4,1.05,0.8,1.85,0.99,1.79
Bournemouth,27,43.8,38,418,3420,38,24,4,4,78,3,1,0.63,1.63,0.89,1.53,42.7,39.7,27.4,1.12,0.72,1.84,1.04,1.76
Brighton,25,52.2,38,418,3420,35,24,1,2,59,2,0.92,0.63,1.55,0.89,1.53,41.2,39.7,26.5,1.08,0.7,1.78,1.04,1.74
Burnley,22,41.4,38,418,3420,41,30,3,3,67,0,1.08,0.79,1.87,1,1.79,43.9,41.6,27.2,1.15,0.72,1.87,1.09,1.81
Chelsea,27,60.7,38,418,3420,69,46,7,7,60,0,1.82,1.21,3.03,1.63,2.84,66.6,61.7,46.2,1.75,1.22,2.97,1.62,2.84
Crystal Palace,25,44.5,38,418,3420,29,20,3,3,62,2,0.76,0.53,1.29,0.68,1.21,34,31.9,23.6,0.9,0.62,1.52,0.84,1.46
Everton,24,49.2,38,418,3420,42,32,1,1,76,3,1.11,0.84,1.95,1.08,1.92,49.3,48.5,30.9,1.3,0.81,2.11,1.28,2.09
Leicester City,24,57.6,38,418,3420,65,48,5,7,43,3,1.71,1.26,2.97,1.58,2.84,61.5,56.2,44,1.62,1.16,2.78,1.48,2.64
Liverpool,24,63.4,38,418,3420,83,69,5,5,38,1,2.18,1.82,4,2.05,3.87,71.5,67.7,51.8,1.88,1.36,3.25,1.78,3.15
Manchester City,24,66.9,38,418,3420,100,69,6,11,64,4,2.63,1.82,4.45,2.47,4.29,93,84.6,66.2,2.45,1.74,4.19,2.23,3.97
Manchester Utd,29,56.2,38,418,3420,65,43,10,14,73,0,1.71,1.13,2.84,1.45,2.58,59.4,48.8,37,1.56,0.97,2.54,1.28,2.26
Newcastle Utd,28,38.6,38,418,3420,38,29,0,1,66,3,1,0.76,1.76,1,1.76,33.1,32.3,23.2,0.87,0.61,1.48,0.85,1.46
Norwich City,30,49.3,38,418,3420,25,18,2,2,68,3,0.66,0.47,1.13,0.61,1.08,38,36.6,26.1,1,0.69,1.69,0.96,1.65
Sheffield Utd,26,43.1,38,418,3420,36,25,1,1,63,2,0.95,0.66,1.61,0.92,1.58,41.5,40.8,31.5,1.09,0.83,1.92,1.07,1.9
Southampton,25,49.3,38,418,3420,51,32,2,5,55,4,1.34,0.84,2.18,1.29,2.13,53.9,50,31.4,1.42,0.83,2.25,1.32,2.14
Tottenham,29,52.2,38,418,3420,56,39,3,4,84,3,1.47,1.03,2.5,1.39,2.42,46.1,43,30.8,1.21,0.81,2.02,1.13,1.94
Watford,26,42.5,38,418,3420,35,21,7,8,80,3,0.92,0.55,1.47,0.74,1.29,45.1,39.1,28.2,1.19,0.74,1.93,1.03,1.77
West Ham,29,44,38,418,3420,49,36,4,4,64,1,1.29,0.95,2.24,1.18,2.13,46.2,43.2,31.8,1.22,0.84,2.05,1.14,1.97
Wolves,21,48.3,38,418,3420,49,34,4,4,61,2,1.29,0.89,2.18,1.18,2.08,47.1,44.1,32.3,1.24,0.85,2.09,1.16,2.01